code_reg,capacite_de_production_gwh_an,augmentation_prevue
84,14.7477,Aucune augmentation supplémentaire prévue
84,11.1725,Augmentation prévue
84,15.1946,Aucune augmentation supplémentaire prévue
84,8.938,Aucune augmentation supplémentaire prévue
84,14.7477,Aucune augmentation supplémentaire prévue
84,11.1725,Augmentation prévue
84,15.1946,Aucune augmentation supplémentaire prévue
84,22.97066,Aucune augmentation supplémentaire prévue
84,8.938,Augmentation prévue
84,8.938,Aucune augmentation supplémentaire prévue
84,7.1504,Aucune augmentation supplémentaire prévue
84,11.6194,Aucune augmentation supplémentaire prévue
84,6.2566,Aucune augmentation supplémentaire prévue
84,6.2566,Augmentation prévue
84,8.938,Augmentation prévue
84,10.7256,Aucune augmentation supplémentaire prévue
84,14.3008,Augmentation prévue
84,14.3008,Augmentation prévue
84,7.06102,Aucune augmentation supplémentaire prévue
84,7.5973,Augmentation prévue
84,8.938,Aucune augmentation supplémentaire prévue
84,4.469,Aucune augmentation supplémentaire prévue
84,8.938,Augmentation prévue
84,13.8539,Augmentation prévue
84,12.5132,Aucune augmentation supplémentaire prévue
84,4.469,Aucune augmentation supplémentaire prévue
84,5.8097,Aucune augmentation supplémentaire prévue
84,6.2566,Aucune augmentation supplémentaire prévue
84,9.8318,Aucune augmentation supplémentaire prévue
84,13.407,Aucune augmentation supplémentaire prévue
84,8.938,Augmentation prévue
84,8.938,Augmentation prévue
84,10.7256,Aucune augmentation supplémentaire prévue
84,6.79288,Augmentation prévue
84,13.407,Augmentation prévue
93,25.9202,Aucune augmentation supplémentaire prévue
93,5.3628,Aucune augmentation supplémentaire prévue
93,14.3008,Aucune augmentation supplémentaire prévue
93,8.938,Aucune augmentation supplémentaire prévue
93,9.3849,Aucune augmentation supplémentaire prévue
93,12.5132,Augmentation prévue
